strategy,fold,period,in_sample,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,mean_turnover,total_turnover,cumulative_return_std,cagr_std,volatility_std,sharpe_std,sortino_std,max_drawdown_std,calmar_std,var_95_std,cvar_95_std,mean_turnover_std,total_turnover_std
bc,4,2022-01-01_2023-12-31,False,0.10372193643346037,0.05083653629321341,0.1708610810485737,0.1737703978531746,0.24620186009144204,-0.2554094135669465,0.20002732674459858,-0.017038911875414817,-0.025146794456035203,0.0369396700460493,18.506774693070696,0.02268202889383483,0.010878934739737391,0.003273180259057733,0.06257908079452502,0.09020782927981334,0.006352838575732573,0.046339978147303444,0.0004992012443717909,0.0006276311072848965,0.0008914100182896205,0.4465964191631003
bc,5,2024-01-01_2025-12-30,False,0.7428341468599435,0.322346838576362,0.13666742945902383,1.8982892664593283,2.428930982507982,-0.16522502135065337,1.9549907809379523,-0.011625915665216726,-0.019334905242434086,0.0341449844143579,17.106637191593308,0.016689079065189252,0.006365863978656347,0.0028254239026490047,0.02682241827036711,0.024970397589071092,0.008576137382356725,0.08225516534646408,0.000474396430266683,0.00044723939183319896,0.000492925055965941,0.246955453038935
cql,0,2014-01-01_2015-12-31,True,0.8836959366478429,0.7429167176376372,0.2852543885823188,1.8715988401004935,3.217855315617819,-0.13705773348818162,5.420465560326487,-0.02320013024435049,-0.03308450042781386,0.06705162778152193,19.243817173296797,0.17419560391013006,0.14126229482096575,0.007272321696202579,0.31232035493683813,0.6454181351321032,1.0735982638311104e-08,1.0306775354914206,0.0014944866991280492,0.0016489736005352816,0.010673864527999516,3.0633991195358607
cql,1,2016-01-01_2017-12-31,True,4.102288558887737,1.3495652964814044,0.42761138845720364,1.9465610463425982,3.0724359575296143,-0.26079688150847574,5.215598810894453,-0.037063866584915686,-0.05399813390256479,0.029700647576611595,14.256310836773565,0.5325819320833808,0.1287494335944584,0.005183957235857017,0.11271381380322855,0.23298186681872274,0.018978536044256422,0.7185019422450976,0.001301669776130486,0.0014234361857366471,0.008143397653715643,3.908830873783508
cql,2,2018-01-01_2019-12-31,False,0.15933082807705,0.07616220562008916,0.4110040456275924,0.1303619525891256,0.1627518022275063,-0.5530254255185888,0.14055305799096046,-0.04116003632698414,-0.06455541017330305,0.054304850147567696,27.31533962422655,0.08411034850566315,0.039403965291433446,0.021715879823992645,0.09252587882390338,0.11549826713490269,0.02448754384374725,0.0758859107030185,0.003142879029494882,0.004314990460343749,0.01661338468314357,8.35653249562122
cql,3,2020-01-01_2021-12-31,False,3.038583747259192,1.0020209789306835,0.5084697567841309,1.3195399245990465,1.7840732821102847,-0.3754789272143063,2.6686477091130483,-0.04557578282395787,-0.07151636138486414,0.08798860200049802,44.4342440102515,0.5547345965305536,0.13882339080214168,0.007353054554025157,0.12122299762258541,0.1795023406637124,4.2998752849492583e-17,0.3697235203905533,0.000496260362475195,0.0007838813171517597,0.02323921819984409,11.735805190921264
cql,4,2022-01-01_2023-12-31,False,0.6339296523624323,0.27846820113222603,0.530464685003501,0.4206900827444655,0.6860345666207486,-0.6110740780877288,0.45603194060123753,-0.05200263384884436,-0.06956531380495037,0.05632367531569608,28.21816133316373,0.16379352347685003,0.06565303539264124,0.017457844144209766,0.09083036958078813,0.16730289467331114,0.01883961851060108,0.11040791045448248,0.002911976106954831,0.0018511786374745985,0.02227702761953053,11.160790837384795
cql,5,2024-01-01_2025-12-30,False,2.0790567410114273,0.7584851496565749,0.47621486838898425,1.1396351784691436,1.5538665107546132,-0.37288648516966194,2.0547971978754624,-0.043705345486903156,-0.06808178027987456,0.06835277774462521,34.244741650057236,0.3064635492220412,0.08765666365248553,0.01665560613993111,0.08245146367922808,0.12357045084128787,0.035564186673795316,0.31907546338539866,0.0012773625911253114,0.0028873724169731717,0.03089501642095436,15.478403226898136
dt,0,2014-01-01_2015-12-31,True,0.0483896139664739,0.04236429160041375,0.123734475420386,0.17361484441812391,0.24146545288713844,-0.10791571462636249,0.3927378460948489,-0.011998344338745384,-0.018326584895367252,0.02455715296017342,7.047902899569772,0.004431913223180527,0.0038684457657158625,0.0004170094103524793,0.029748329980819763,0.041474315627622514,0.0005451987135174149,0.03779473017543957,0.00023700743122251388,9.673263613821426e-05,0.0006708308440330911,0.19252845223749684
dt,1,2016-01-01_2017-12-31,True,1.0693593699624975,0.4632740087864934,0.10582368354230642,3.387975986952717,4.951920842883195,-0.06983879012263575,6.604077404967083,-0.009299889856952178,-0.01385953289044133,0.018905195228279145,9.07449370957399,0.2015774104572496,0.07304761359185871,0.011430063415643723,0.08642988559404553,0.25248523700671277,0.0063922889982135165,0.5001989080117426,0.0006502403008308853,0.0010629802057135567,0.0018263149455649726,0.8766311738711859
dt,2,2018-01-01_2019-12-31,False,0.1744152454623047,0.08376439883226565,0.1653487642631089,0.3873875587535288,0.5115388343356779,-0.24490464807593834,0.36629149139733097,-0.01833697340683357,-0.02538722427172694,0.07148368469790052,35.95629340304396,0.0337685644680473,0.01569642020245625,0.029110933589794434,0.13763723026291053,0.1814413728938981,0.05056479595198606,0.12303215651234405,0.0031306866445527,0.004647602770053456,0.05739010965587563,28.86722515690544
dt,3,2020-01-01_2021-12-31,False,0.804740168657551,0.3422078543968396,0.20470879471322895,1.3540575404512833,1.5117063777243358,-0.24143311959319208,1.4599413592326855,-0.01682855136483018,-0.03133111965901551,0.07086621161788603,35.78743686703244,0.08905535835182932,0.033243209465276535,0.01504838080251121,0.21568913371300585,0.2890203881536589,0.03210451998947709,0.3222572663922718,0.00113894681240378,0.0023806857862508795,0.001217662727740382,0.6149196775088963
dt,4,2022-01-01_2023-12-31,False,0.09285834910099795,0.045628892937166834,0.17249253970922532,0.14311906762067278,0.2026043453326297,-0.2563853607123123,0.17880089557619722,-0.01735077211760327,-0.02543496794187553,0.03695522479609834,18.514567622845266,0.02091404879896275,0.010050675566171565,0.0036665951381253344,0.05663871653067407,0.08135425352298536,0.007137259506435337,0.042032150041223064,0.00033843544631262785,0.0006403292741756771,0.0005231815195666465,0.26211394130289045
dt,5,2024-01-01_2025-12-30,False,0.7968380930552905,0.34255127263324525,0.14448044870500765,1.9049446578087768,2.445662693991826,-0.16507721331604505,2.0758048379411846,-0.012119467598003569,-0.020614656430063834,0.04185488511025919,20.969297440239853,0.0721312994009815,0.026818905348284634,0.015039887019298525,0.06524427486559406,0.08696166591640726,0.008456980647812414,0.1297799107927768,0.0013790403005169553,0.0025774663019261365,0.017551953722333667,8.793528814889166
