transaction_cost,strategy,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,mean_turnover,total_turnover,algo
0.001,dt_seed42,2.021203952981304,0.20308284719903802,0.22069052534210773,0.7471426402666101,0.9395696967329418,-0.3743171837264857,0.5425421434764562,-0.02110728654097832,-0.03322781230438428,0.13603145303369568,204.9993997217794,dt
0.001,dt_seed123,2.236539487088233,0.21701392375744732,0.17536787619864794,1.0058869321642097,1.2472573595543572,-0.220409229424837,0.9845954469499766,-0.016258867869840134,-0.02584306733816499,0.04264718812785156,64.2693125086723,dt
0.001,dt_seed456,2.064621240121605,0.20595681309706326,0.17667042348824297,0.9468097960342983,1.1420899917796832,-0.2560859084459898,0.8042489114175563,-0.016449758584009416,-0.026517505350537096,0.041537452087751225,62.5969402962411,dt
0.001,dt_seed789,2.4532106063881716,0.23027293011171102,0.17187779608022644,1.08935559705324,1.372984139416203,-0.23032750608602878,0.9997630505568129,-0.016356286545427833,-0.025431394184671552,0.04330369537837641,65.25866893521325,dt
0.001,dt_seed1011,2.2943651903982527,0.22062315698343737,0.17230917632718595,1.0409283856785887,1.247737509192217,-0.28004760743443635,0.7878058984492085,-0.015712579877060665,-0.025820625819939845,0.043696993623746266,65.85136939098562,dt
0.001,bc_seed42,2.3323617230599614,0.22296611776289543,0.22371620248521318,0.8103085521167659,1.028813932026994,-0.3435877975752108,0.6489349136856017,-0.02125787669831765,-0.033485717035117546,0.12313294335850494,185.56134564126694,bc
0.001,bc_seed123,2.205248443501842,0.2150384232239415,0.1749826707194999,0.9988171950197118,1.2408918308645802,-0.22303656762787993,0.9641397619726523,-0.01627895947093899,-0.025754654942488898,0.042759234345657364,64.43816615890564,bc
0.001,bc_seed456,2.0703651996491286,0.20633448521703945,0.17661267791755456,0.9488923035004463,1.1445738055476782,-0.2557382463692521,0.8068190352690534,-0.016518162406169414,-0.02649346012998178,0.04156568932826751,62.63949381769915,bc
0.001,bc_seed789,2.4641521653346223,0.23092391760175235,0.17261140017782506,1.0877904920461732,1.368555579472303,-0.23215637665315786,0.9946912547948368,-0.016509340249086096,-0.025586672038723834,0.04337490665194229,65.36598432447703,bc
0.001,bc_seed1011,2.26604607389781,0.21886224856671155,0.17162467590713,1.0366681803564999,1.2422273490751912,-0.27801220256178566,0.7872397202351987,-0.015594299250859379,-0.025727764083375574,0.04397416482674868,66.26906639391026,bc
0.0025,buy_and_hold,2.569309250683407,0.23709464838452998,0.17235124233620225,1.1184462747604218,1.378734450890432,-0.23290510666551953,1.0179881917532498,-0.015875878695959682,-0.02566829108051967,6.634448207207596e-16,9.998113448261847e-13,buy_and_hold
0.0025,equal_weight,2.569309250683407,0.23709464838452998,0.17235124233620225,1.1184462747604218,1.378734450890432,-0.23290510666551953,1.0179881917532498,-0.015875878695959682,-0.02566829108051967,6.634448207207596e-16,9.998113448261847e-13,equal_weight
0.0025,mean_variance,2.5914515269065554,0.23837464634209327,0.17602206964845715,1.100996887014361,1.3753075132760453,-0.23290510666551953,1.0234839834767069,-0.01666346174322827,-0.026091109093061574,0.0068065645363195905,10.257492756233622,mean_variance
0.0025,min_variance,2.5252752202167144,0.23452935767236305,0.17098628807087538,1.1152345178922225,1.3712749694772983,-0.23290510666551953,1.0069738745968166,-0.01572780376770506,-0.025477348489358925,0.00016377460625661177,0.24680833162871396,min_variance
0.0025,risk_parity,0.030503102951596306,0.005037114542973731,0.08131222105740354,-0.1841731671156085,-0.15041571410978505,-0.23290510666551953,0.02162732545923799,-2.8303544326784713e-05,-0.007306493520307348,0.0014012349408248448,2.111661055823041,risk_parity
0.0025,momentum,1.98720017835101,0.2008078832895006,0.22623671827338673,0.7204602665329986,0.975294321745673,-0.35398368762620297,0.5672800479482778,-0.022527760422273495,-0.03369933402401021,0.15058299364853717,226.9285714283455,momentum
0.0025,dt_seed42,1.2176011984907067,0.14245343074595063,0.22092340031075783,0.5122955828184033,0.6438487712347738,-0.41279508780396346,0.3450947817809349,-0.02143069409464478,-0.033543395351646556,0.136523388511791,205.740746487269,dt
0.0025,dt_seed123,1.939539718350245,0.1975826684097981,0.17539180673631344,0.9139827285311038,1.132622150885852,-0.23141485892474362,0.8538028600577122,-0.016571527099365706,-0.02594672994827305,0.04265824223450408,64.28597104739765,dt
0.0025,dt_seed456,1.790147252661829,0.18718283317977824,0.17671542769128876,0.8577809837211631,1.0339604089573575,-0.2569251250743969,0.7285501296363147,-0.016621693840469375,-0.02661508551139602,0.04154730734284413,62.611792165666095,dt
0.0025,dt_seed789,2.131008253672037,0.21028635331203493,0.17188458234141396,0.9940215981706352,1.2519359463978912,-0.2376060285992295,0.8850211189999951,-0.01638100729668543,-0.025509048736186514,0.043312993375269386,65.27268101653097,dt
0.0025,dt_seed1011,1.9852784545232471,0.200678670996717,0.17230232152584077,0.9453555509125665,1.132982755686556,-0.28075675382863474,0.7147777150864376,-0.01581634501465867,-0.02590717203674923,0.043725086853095146,65.89370588761439,dt
0.0025,bc_seed42,1.5231325052489129,0.16738006460195498,0.22376438374988064,0.6022494493238795,0.764363733287871,-0.3839272929111885,0.43596813170735943,-0.02144908285939239,-0.03372619035598262,0.12313294335850494,185.56134564126694,bc
0.0025,bc_seed123,1.9101287512153813,0.19557061541673182,0.1749945720747835,0.9064485370920787,1.126619321908584,-0.23424813277906803,0.8348865499866543,-0.016317415310933957,-0.025846008863973695,0.042759234345657364,64.43816615890564,bc
0.0025,bc_seed456,1.7951301514924554,0.18753710541764557,0.17664253548461786,0.8598240660965224,1.0369546684214783,-0.2565825528904937,0.7309035758860974,-0.01661045351364633,-0.026574720478528,0.04156568932826751,62.63949381769915,bc
0.0025,bc_seed789,2.1408431930976213,0.21092123907417148,0.172622448227498,0.9928107629787932,1.2487184901786028,-0.23938340393858215,0.8811021800336956,-0.016552283362003012,-0.02566576377037817,0.04337490665194229,65.36598432447703,bc
0.0025,bc_seed1011,1.9572541233245895,0.19878646442006676,0.17162062493492145,0.9399206273541496,1.1264572475369865,-0.2787285693839857,0.7131901292336199,-0.015604050989665542,-0.025812035256981416,0.04397416482674868,66.26906639391026,bc
