strategy,fold,period,in_sample,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,mean_turnover,total_turnover,cumulative_return_std,cagr_std,volatility_std,sharpe_std,sortino_std,max_drawdown_std,calmar_std,var_95_std,cvar_95_std,mean_turnover_std,total_turnover_std
bc,4,2022-01-01_2023-12-31,False,0.15216269571562407,0.07379927359341623,0.1870495577660269,0.2774466446645847,0.411953140862445,-0.2503307514770233,0.301829851824883,-0.018563478809060154,-0.026257682735475418,0.06400277389385846,32.06538972082309,0.020885146623857057,0.009827620614101184,0.03356011452840053,0.05301988123154419,0.07791160258442223,0.047281097717163614,0.05627419615021252,0.002887840100040437,0.004319813400234442,0.062440435926558915,31.282658399206024
bc,5,2024-01-01_2025-12-30,False,0.7473936487616275,0.32408024689880593,0.14102105530187228,1.8493770483835565,2.2543435406892662,-0.16927082526894596,1.9187520888022256,-0.012602264546045022,-0.02010385225035504,0.030581364965686076,15.321263847808723,0.019560222578010426,0.007448973271302352,0.0018987859812641028,0.05979160615535571,0.08041434642896897,0.0065825011803233744,0.11281833583368184,0.0006288839993797371,0.00047712593485389624,0.0012965610663795634,0.6495770942561615
cql,0,2014-01-01_2015-12-31,True,1.2601975843226694,0.5001106268258826,0.2798780346626511,1.3745213926255613,2.300396671459648,-0.16794963302251348,3.1229533481332625,-0.022525890067972364,-0.03289533826916235,0.0781114250174101,39.36815820877469,0.3039878963063085,0.09932618792003929,0.007478147368254052,0.25837671421371755,0.5722506356606418,0.02528358857252316,1.0574291292976565,0.0006470082612080188,0.0017867525772799658,0.00845828995477692,4.262978137207567
cql,1,2016-01-01_2017-12-31,True,1.1886947725049817,0.4794075966560197,0.3592073517755492,1.0309031045069488,1.5105843823513518,-0.2433283000733971,1.9702088996367266,-0.029719705465139877,-0.04908868966930611,0.0578821986538807,29.11474592290199,0.1769472481796847,0.05893142315521447,0.00826322135645687,0.08769590625932512,0.13306487991839447,3.675301460928163e-07,0.24218861492640614,0.0011521477785958892,0.0014005025266799025,0.006848016798721622,3.4445524497569773
cql,2,2018-01-01_2019-12-31,False,0.18343649977386983,0.08203282257891246,0.2949428628946808,0.18564423723465884,0.25443013534865094,-0.39926355617358344,0.2852738604838586,-0.033846783482970245,-0.045877035287563026,0.15714055504205524,79.04169918615379,0.2386176877953865,0.11440393307698535,0.015458062184517443,0.38233252000871576,0.4967629167440069,0.09595222625167657,0.33458322013426733,0.0022762889817293562,0.0029670825492069384,0.024807230542937764,12.478036963097697
cql,3,2020-01-01_2021-12-31,False,1.2459464703934748,0.49024199940564406,0.3953702987010681,0.9525626463573739,1.434086721943499,-0.32124999556603073,1.5320032348457238,-0.038534297251198474,-0.05304278483400924,0.20173629730320597,101.876830138119,0.45466199004747987,0.1464334654726636,0.018952634795931265,0.25287152699515597,0.44221635621152905,0.012011480068700129,0.4735753227309129,0.0022202791064524128,0.0028803887588434917,0.0334669383683189,16.900803876001042
cql,4,2022-01-01_2023-12-31,False,0.05569126202833226,0.02274582395745357,0.33040181993258133,-0.02193086056957829,-0.020920309798182178,-0.4553734708575169,0.08432370561045464,-0.033046507207286434,-0.04315967118412905,0.17518691288484617,87.76864335530794,0.20499367092259901,0.1007236467834263,0.030866959235431257,0.29698375874189664,0.46528463991837987,0.07908156991935088,0.23865471450978495,0.0016824151861786144,0.0024652685653005534,0.031875525768686325,15.96963841011185
cql,5,2024-01-01_2025-12-30,False,1.5427107314992832,0.5922913856267014,0.3044966853286296,1.4416894224600096,1.940768341696251,-0.33740323135979833,1.7852279279557521,-0.02690819683023473,-0.04370261211736838,0.21396045297541472,107.19418694068277,0.4968953646251495,0.1477786350564847,0.018797562879092296,0.21202451210099887,0.3733213091167817,0.02874628693775108,0.5499029367977976,0.001659288242556249,0.0026310414488402135,0.03539504839999896,17.732919248399483
dt,0,2014-01-01_2015-12-31,True,0.13020906166550614,0.06311158222796118,0.10881662167811393,0.3786053476501479,0.5588105299673257,-0.10860247106719305,0.5812620578593265,-0.010938296964522143,-0.014944027973339722,0.01748922147277728,8.814567622279748,0.003572684908921629,0.0016808921045448574,0.00029443967265245817,0.014412368978301915,0.02116679890818603,0.0008848137868677777,0.019381858172938256,2.5418515924580116e-05,4.2870458743552864e-05,0.0005183310636165835,0.2612388560627583
dt,1,2016-01-01_2017-12-31,True,0.6087217156387457,0.268952093665594,0.0933574772278309,2.337130330895082,3.190673183225774,-0.06376525619168819,4.218081125046806,-0.009083557546486732,-0.013429183979148007,0.016505553559431903,8.302293440394246,0.004809208136745314,0.001900084081867659,0.00018666434284830117,0.012187598889924347,0.02422670764342255,0.0005204545910850977,0.04110739868290921,3.612844656986909e-05,2.1033775416477674e-05,0.0005306025948877785,0.2668931052285526
